x
370.693
368.854
362.185
362.66
367.51
360.27
359.377
351.585
357.838
348.034
347.139
350.035
345.842
346.553
350.686
344.28
344.293
339.513
338.048
341.438
338.031
341.047
340.257
332.815
325.303
325.92
326.415
327.874
325.19
323.712
329.132
329.454
325.101
326.61
326.215
325.636
316.539
314.077
312.193
307.526
307.626
309.172
311.523
308.655
306.93
308.156
303.871
301.847
297.661
300.474
301.777
299.944
299.431
294.624
293.089
283.846
281.846
283.22
288.022
284.66
274.721
272.907
271.042
278.189
274.868
269.975
267.148
265.245
265.868
268.67
263.193
255.247
252.586
253.913
253.085
254.144
255.277
252.878
251.903
252.012
250.95
259.504
258.282
257.503
256.438
252.707
248.109
245.764
245.968
243.709
235.876
241.593
242.892
242.39
246.427
242.9376
246.5806
241.7436
245.1666
242.3458
241.4996
244.2876
249.913
246.239
243.701
240.8344
237.4144
231.3368
237.9566
238.0878
234.514
237.865
235.7872
238.453
236.681
236.161
234.533
234.413
234.586
234.211
231.176
235.466
232.7494
227.0914
228.2704
231.7852
234.2032
236.4472
238.581
238.964
238.81
240.1848
237.6438
236.0508
236.4738
240.6398
238.554
239.6038
235.2466
236.2116
234.7186
235.5176
233.4768
234.8958
234.9618
231.7798
229.2696
229.2356
230.6304
227.7286
226.9746
228.3334
222.8628
222.9628
221.711
219.989
220.735
218.831
217.435
215.3382
215.5382
220.6288
221.1128
219.9378
215.687
216.637
217.906
218.365
215.6672
215.8892
212.3516
211.2288
212.5878
212.873
216.4788
220.2914
221.6794
223.3974
220.5846
222.8506
221.0918
221.7658
220.6448
221.0318
220.4358
223.1986
224.3244
224.3204
222.8516
221.6716
220.6046
219.5618
225.0056
227.5112
227.8962
225.9282
228.3262
227.1522
223.9714
225.8374
230.4222
230.6852
231.9442
230.8342
229.5542
228.4024
225.6014
228.5404
226.4664
224.6424
223.8614
223.0664
221.3774
225.4824
225.2304
224.2864
223.3064
221.4786
218.1658
215.2278
218.0186
218.4036
220.4824
222.1134
222.2854
224.9144
224.7686
223.1576
223.5716
220.9416
220.5056
217.6978
216.6128
219.2466
221.0506
223.5926
226.7316
228.9886
226.8936
234.9716
236.4586
233.9876
233.6706
231.0938
232.2668
225.3758
224.8298
223.5088
224.5218
220.653
221.547
221.274
220.6202
218.1484
225.3344
227.8294
226.0134
225.0664
224.5384
224.8034
214.7754
213.7844
212.5774
217.2524
215.5796
213.8066
214.6326
215.1316
216.6996
217.0526
216.2236
216.9356
217.0726
220.0398
221.3638
217.0968
216.7328
216.2798
214.6898
212.8838
212.3598
