cats(<)
-2000000
-1560000
-1200000
-800000
-600000
-400000
-255000
-238000
-201000
-140000
-104000
-100000
-70000
-50000
-49000
-30000
-21000
-20000
-17000
-16763
-16000
-15000
-14715
-13889
-12000
-11269
-11113
-11000
-10882
-10811
-10000
-9925
-9309
-9229
-9226
-9033
-8857
-8486
-7966
-7925
-7836
-7711
-7563
-7559
-7500
-7236
-7200
-6914
-6667
-6505
-6309
-6190
-6124
-5834
-5750
-5742
-5639
-5500
-5297
-5294
-5140
-5061
-5000
-4998
-4876
-4864
-4778
-4773
-4730
-4709
-4700
-4682
-4614
-4586
-4534
-4361
-4317
-4131
-4090
-4019
-4000
-3995
-3963
-3957
-3946
-3928
-3912
-3908
-3906
-3902
-3890
-3823
-3788
-3760
-3628
-3611
-3596
-3564
-3520
-3516
-3433
-3405
-3386
-3383
-3321
-3302
-3273
-3241
-3222
-3221
-3116
-3069
-3054
-3026
-3016
-3011
-3000
-2948
-2889
-2877
-2848
-2844
-2840
-2839
-2838
-2743
-2731
-2708
-2700
-2655
-2625
-2600
-2595
-2575
-2568
-2534
-2500
-2482
-2479
-2464
-2449
-2426
-2422
-2419
-2409
-2398
-2392
-2307
-2298
-2289
-2251
-2232
-2220
-2217
-2213
-2191
-2188
-2182
-2180
-2179
-2161
-2152
-2113
-2093
-2082
-2081
-2059
-2057
-2049
-2044
-2027
-2023
-2008
-1990
-1987
-1972
-1964
-1957
-1920
-1917
-1916
-1904
-1871
-1853
-1851
-1850
-1848
-1845
-1841
-1778
-1758
-1725
-1710
-1698
-1695
-1682
-1681
-1680
-1654
-1644
-1627
-1601
-1592
-1591
-1571
-1569
-1568
-1500
-1489
-1460
-1455
-1404
-1382
-1371
-1370
-1369
-1358
-1357
-1350
-1342
-1324
-1322
-1320
-1312
-1310
-1309
-1295
-1270
-1255
-1243
-1231
-1228
-1211
-1176
-1150
-1081
-1040
-1000
-917
-905
-893
-799
-750
-713
-450
-363
-339
-300
-231
0
231
300
339
363
450
713
750
799
893
905
917
1000
1040
1081
1150
1176
1211
1228
1231
1243
1255
1270
1295
1309
1310
1312
1320
1322
1324
1342
1350
1357
1358
1369
1370
1371
1382
1404
1455
1460
1489
1500
1568
1569
1571
1591
1592
1601
1627
1644
1654
1680
1681
1682
1695
1698
1710
1725
1758
1778
1841
1845
1848
1850
1851
1853
1871
1904
1916
1917
1920
1957
1964
1972
1987
1990
2008
2023
2027
2044
2049
2057
2059
2081
2082
2093
2113
2152
2161
2179
2180
2182
2188
2191
2213
2217
2220
2232
2251
2289
2298
2307
2392
2398
2409
2419
2422
2426
2449
2464
2479
2482
2500
2534
2568
2575
2595
2600
2625
2655
2700
2708
2731
2743
2838
2839
2840
2844
2848
2877
2889
2948
3000
3011
3016
3026
3054
3069
3116
3221
3222
3241
3273
3302
3321
3383
3386
3405
3433
3516
3520
3564
3596
3611
3628
3760
3788
3823
3890
3902
3906
3908
3912
3928
3946
3957
3963
3995
4000
4019
4090
4131
4317
4361
4534
4586
4614
4682
4700
4709
4730
4773
4778
4864
4876
4998
5000
5061
5140
5294
5297
5500
5639
5742
5750
5834
6124
6190
6309
6505
6667
6914
7200
7236
7500
7559
7563
7711
7836
7925
7966
8486
8857
9033
9226
9229
9309
9925
10000
10001
10002
10003
10004
10005
10006
10007
10008
10009
10010
10011
10012
10013
10014
10015
10016
10017
10018
10019
10020
10021
10022
10023
10024
10025
10026
10027
10028
10029
10030
10031
10032
10033
10034
10035
10036
10037
10038
10039
10040
10041
10042
10043
10044
10045
10046
10047
10048
10049
10050
10811
10882
11000
11113
11269
12000
13889
14715
15000
16000
16763
17000
20000
21000
30000
49000
50000
70000
100000
104000
140000
201000
238000
255000
400000
600000
800000
1200000
1560000
2000000
