departure_work_Werk,duration_work_Werk,distance_work_Werk,departure_spare_time_Werk,duration_spare_time_Werk,distance_spare_time_Werk,departure_spare_time_Sonn,duration_spare_time_Sonn,distance_spare_time_Sonn
0.000000001735,0,0.0439506172839506,0.00000253631,0.001393390923816,0.108024691358025,0.000000004956,0.000199656652320952,0.0979726080246913
0.000000001885,0,0.042962962962963,0.000002570867,0.00151387318831382,0.101851851851852,0.000000005166,0.00020888872193274,0.0911400462962963
0.000000002048,0,0.0419753086419753,0.00000260585,0.00164376961144964,0.095679012345679,0.000000005386,0.00021854531447532,0.0843074845679012
0.000000002224,0,0.0409876543209877,0.000002641263,0.00178353213672565,0.0895061728395062,0.000000005614,0.000228642500342076,0.0774749228395062
0.000000002415,0,0.04,0.000002677111,0.001933590973763,0.0833333333333333,0.000000005851,0.000239196664542588,0.0706423611111111
0.000000002622,0,0.0390123456790124,0.000002713398,0.00209434778636815,0.0771604938271605,0.000000006098,0.000250224492735567,0.0638097993827161
0.000000002845,0,0.0380246913580247,0.000002750129,0.00226616849695279,0.0709876543209877,0.000000006355,0.000261742955673025,0.056977237654321
0.000000003087,0,0.037037037037037,0.000002787309,0.00244937577809147,0.0648148148148148,0.000000006623,0.000273769292008916,0.0501446759259259
0.000000003348,0,0.0360493827160494,0.000002824943,0.00264424131536299,0.058641975308642,0.000000006901,0.000286320989428567,0.0433121141975309
0.000000003631,0,0.0350617283950617,0.0000028630347741396,0.0028509779386434,0.0524691358024691,0.00000000719,0.000299415764058603,0.0364795524691358
0.000000003936,0,0.0340740740740741,0.00000290159,0.00306973173135619,0.0462962962962963,0.000000007491,0.000313071538120862,0.0296469907407407
0.000000004266,0,0.0330864197530864,0.000002940614,0.00330057423847984,0.0401234567901235,0.000000007804,0.000327306415797911,0.0228144290123457
0.000000004622,0,0.0320987654320988,0.00000298011,0.00354349490399492,0.0339506172839506,0.00000000813,0.000342138657282322,0.0187596450617284
0.000000005006,0,0.0311111111111111,0.000003020085,0.00379839387655341,0.0277777777777778,0.000000008468,0.00035758665098669,0.0174826388888889
0.00000000542,0,0.0301234567901235,0.000003060543,0.00406507532811561,0.0216049382716049,0.00000000882,0.000373668883896649,0.0162056327160494
0.000000005868,0,0.0291358024691358,0.000003101489,0.00434324143378895,0.0154320987654321,0.000000009187,0.000390403910054746,0.0149286265432099
0.00000000635,0,0.0281481481481481,0.000003142928,0.00463248716181936,0.00925925925925926,0.000000009567,0.000407810317168973,0.0136516203703704
0.000000006871,0,0.0271604938271605,0.000003184865,0.00493229602037305,0.00308641975308642,0.000000009963,0.000425906691346084,0.0123746141975309
0.000000007431,0,0.0261728395061728,0.000003227306,0.00524203690220861,0,0.000000010374,0.000444711579956482,0.0110976080246914
0.000000008036,0,0.0251851851851852,0.000003270256,0.00556096215944499,0,0.000000010801,0.000464243452644422,0.00982060185185185
0.000000008687,0,0.0241975308641975,0.00000331372,0.0058882070283264,0,0.000000011246,0.000484520660504574,0.00854359567901234
0.000000009388,0,0.0232098765432099,0.000003357703,0.00622279050820087,0,0.000000011708,0.000505561393453606,0.00726658950617284
0.000000010144,0,0.0222222222222222,0.000003402211,0.00656361777998458,0,0.000000012188,0.000527383635833261,0.00598958333333333
0.000000010956,0,0.0212345679012346,0.000003447249,0.00690948422739063,0,0.000000012686,0.0005500051202896,0.00471257716049383
0.000000011831,0,0.0202469135802469,0.000003492823,0.00725908109946447,0,0.000000013204,0.000573443279981363,0.00404320987654321
0.000000012772,0,0.0192592592592593,0.000003538938,0.00761100282588297,0,0.000000013743,0.000597715199179028,0.00398148148148148
0.000000013784,0,0.0182716049382716,0.000003585599,0.00796375596752175,0,0.000000014302,0.00062283756232485,0.00391975308641975
0.000000014872,0,0.017283950617284,0.000003632813,0.0083157697545327,0,0.000000014883,0.000648826601633067,0.00385802469135802
0.000000016041,0,0.0162962962962963,0.0000036805839004792,0.00866540813322384,0,0.000000015487,0.000675698043318458,0.0037962962962963
0.000000017298,0,0.0153086419753086,0.000003728919,0.00901098321207209,0,0.000000016114,0.000703467052550508,0.00373456790123457
0.000000018648,0,0.014320987654321,0.000003777823,0.00935076996693671,0,0.000000016765,0.000732148177239593,0.00367283950617284
0.000000020097,0,0.0133333333333333,0.000003827301,0.00968302203670531,0,0.000000017441,0.000761755290770647,0.00361111111111111
0.000000021654,0,0.0123456790123457,0.000003877361,0.0100059884139221,0,0.000000018144,0.000792301533808944,0.00354938271604938
0.000000023324,0,0.011358024691358,0.0000039280069981289,0.0103179308111232,0,0.000000018873,0.000823799255311543,0.00348765432098765
0.000000025116,0,0.0103703703703704,0.000003979246,0.0106171414632974,0,0.00000001963,0.000856259952886871,0.00342592592592593
0.000000027038,0,0.00938271604938272,0.000004031082,0.0109019611106998,0,0.000000020417,0.00088969421265359,0.0033641975308642
0.0000000291,0,0.00839506172839506,0.0000040835238202499,0.011170796894688,0,0.000000021233,0.000924111648758355,0.00330246913580247
0.000000031309,0,0.00740740740740741,0.000004136576,0.0114221398927356,0,0.00000002208,0.000959520842720309,0.00324074074074074
0.000000033678,0,0.00641975308641975,0.000004190244,0.011654582017618,0,0.00000002296,0.000995929282778011,0.00317901234567901
0.000000036215,0,0.0054320987654321,0.000004244535,0.0118668320101211,0,0.000000023873,0.00103334330342202,0.00311728395061728
0.000000038933,0,0.00444444444444445,0.000004299454,0.0120577302645494,0,0.00000002482,0.00107176802530347,0.00305555555555556
0.000000041843,0,0.00345679012345679,0.000004355009,0.012226262241696,0,0.000000025804,0.00111120729571559,0.00299382716049383
