"size","percentage"
0,0.403183867342016
1,0.403358775313828
2,0.413678541713831
3,0.413808384312682
4,0.413949703143408
5,0.41411576441359
6,0.520675843747989
7,0.521589030642687
8,0.521901690895889
9,0.52206218438986
10,0.535606641299047
11,0.536661265261905
12,0.538739949941148
13,0.539862127813108
14,0.555539473253203
15,0.557633183271808
16,0.561017891419431
17,0.561909596408544
18,0.572842631693497
19,0.573589095016864
20,0.57407797653993
21,0.574535157708763
22,0.576870555171865
23,0.57731426207832
24,0.577783577612841
25,0.578571714114515
26,0.58709154745897
27,0.587684767901567
28,0.588658360205992
29,0.589215477634916
30,0.592313073093221
31,0.593063687710742
32,0.594086496441312
33,0.594604840545991
34,0.599030438198029
35,0.599341351112721
36,0.599543646440765
37,0.599921215452415
38,0.601323598737679
39,0.601631129521684
40,0.602085690742303
41,0.602327026791353
42,0.604523028789523
43,0.604998568568556
44,0.605267025789003
45,0.60553864984921
46,0.609309004192282
47,0.609913032796543
48,0.610178457892639
49,0.610468555341878
50,0.61265154142757
51,0.612998812987779
52,0.613253065245163
53,0.613602856340712
54,0.614479047314004
55,0.614686286721637
56,0.614995032127208
57,0.615155442054818
58,0.616451244671955
59,0.616894355834102
60,0.617354791470078
61,0.617514508769981
62,0.617898101413014
63,0.618104667583795
64,0.61834521031586
65,0.618524406593519
66,0.618817071580384
67,0.619163306190564
68,0.619329710826283
69,0.619505026601368
70,0.620127840846947
71,0.620311348634275
72,0.620526916881575
73,0.620678892368741
74,0.621391242452234
75,0.621671477745597
76,0.621827152222483
77,0.62196796378676
78,0.623305376037466
79,0.623524100805417
80,0.623923295842908
81,0.624362449243817
82,0.624837715212081
83,0.625316006798554
84,0.62543638281921
85,0.62576431416392
86,0.626039158523395
87,0.626164256805309
88,0.626305398921282
89,0.626460275516961
90,0.626988761151815
91,0.62720780683982
92,0.627397732588845
93,0.627509398189573
94,0.627694811277165
95,0.627851065147956
96,0.627975747688821
97,0.628103219677779
98,0.628278813126212
99,0.628427005518661
100,0.628522670815529
101,0.628627797913753
102,0.628753483775405
103,0.628843578510752
104,0.628927018752834
105,0.629034591380806
106,0.629267995429407
107,0.62942104806577
108,0.629511444372842
109,0.629618687824052
110,0.629847623917913
111,0.629945742320854
112,0.630033940537101
113,0.630120695530905
114,0.630384885459352
115,0.63054855278116
116,0.630642902625438
117,0.630713939864792
118,0.630825689627214
119,0.63092416328818
120,0.631022487612638
121,0.631092753059138
122,0.631321983077527
123,0.631465469041748
124,0.631531662437203
125,0.631619906550809
126,0.632130005247522
127,0.632247509359343
128,0.632334613260952
129,0.632393487927161
130,0.632520646799182
131,0.63260233265089
132,0.632681509293455
133,0.632755005464642
134,0.632845219415471
135,0.632894736017143
136,0.632945350902342
137,0.632993784585754
138,0.633089606327694
139,0.633193360403186
140,0.633250023640271
141,0.633301017384208
142,0.63336664211593
143,0.633418745334241
144,0.633518717179668
145,0.633619669843702
146,0.63371031901857
147,0.633780821400615
148,0.63383801293217
149,0.633883616996669
150,0.634053396066268
151,0.634114672604454
152,0.634162921989703
153,0.634215751755541
154,0.634715535502923
155,0.63479184271012
156,0.63485918396477
157,0.634907356431546
158,0.635086370523058
159,0.6351723739866
160,0.635226946179449
161,0.635281261202511
162,0.635358452366181
163,0.635428279697024
164,0.635482264012468
165,0.635519602009522
166,0.63557722032414
167,0.635665621832517
168,0.63572891842145
169,0.63580985464938
170,0.635862126722627
171,0.635966714122915
172,0.636010612812811
173,0.636119919242548
174,0.636198317012046
175,0.63629298438865
176,0.636339596260198
177,0.636379507571028
178,0.636560352772942
179,0.636606715086463
180,0.636656185904174
181,0.636834741050452
182,0.636892774850977
183,0.636938661067998
184,0.63703799919536
185,0.637132328181713
186,0.637230610676922
187,0.637295275114858
188,0.637340408688912
189,0.637388487411964
190,0.637455448539249
191,0.637509763874152
192,0.637586386281954
193,0.63762893948328
194,0.637705357755564
195,0.637806178560373
196,0.637854528953829
197,0.637899698035258
198,0.637969162156124
199,0.638006641722005
200,0.638049169479923
201,0.638105721687358
202,0.638186556765335
203,0.638297351039161
204,0.638360278280515
205,0.63858561647791
206,0.638649093119714
207,0.638710546670318
208,0.638758959028043
209,0.638807302320024
210,0.638896722677463
211,0.638957411912315
212,0.639025396530846
213,0.639066235491355
214,0.639168233936194
215,0.639201348447852
216,0.639245906426792
217,0.639291856124764
218,0.639406956160458
219,0.639467423173002
220,0.639516249833055
221,0.639605969076132
222,0.639656743191712
223,0.639700659777042
224,0.639769644087661
225,0.63980487588783
226,0.639915895261408
227,0.639955563180162
228,0.639998473276681
229,0.64003543933929
230,0.640086592427004
231,0.640127011202727
232,0.640182110166275
233,0.640223283696981
234,0.640291239668642
235,0.640344413501659
236,0.640415581841899
237,0.640452970980913
238,0.640539516339454
239,0.640587579257826
240,0.640637829203746
241,0.640678090428778
242,0.640736695182234
243,0.640792155697332
244,0.640838638891852
245,0.640879345667119
246,0.640963328576715
247,0.641002022360186
248,0.641055383085319
249,0.641095731441623
250,0.641182253057707
251,0.641238080652449
252,0.64128906934314
253,0.641322888410431
254,0.641426661047562
255,0.641525977360213
256,0.641587656754736
257,0.641658878171769
258,0.641819953320495
259,0.641868807876162
260,0.641928456638598
261,0.642020921119188
262,0.642140115183646
263,0.642183915806564
264,0.642228091248458
265,0.642258073796962
266,0.642301515185878
267,0.642376249572254
268,0.642411069139587
269,0.642505579497047
270,0.642550482032191
271,0.642621831601792
272,0.642665490258994
273,0.642774192794027
274,0.642909043414095
275,0.642957094227358
276,0.642997659603892
277,0.643035487354674
278,0.643139895106068
279,0.643267267915342
280,0.643317880383772
281,0.643374915045017
282,0.64358737659539
283,0.643640175609432
284,0.643684331178535
285,0.64372888822904
286,0.643801880861698
287,0.643838498158248
288,0.643870159681161
289,0.643897380705535
290,0.643956276761218
291,0.64399596618993
292,0.645026516109556
293,0.645056604152529
294,0.645091566989642
295,0.645119142556225
296,0.645160838137488
297,0.645189913298905
298,0.645230372543113
299,0.645283927290185
300,0.645316435603766
301,0.645341912989201
302,0.645376979499346
303,0.645431393099671
304,0.645475236239306
305,0.645509696841953
306,0.645546909875724
307,0.645579552096761
308,0.645622985221885
309,0.645651067190266
310,0.645703119720204
311,0.64575498960332
312,0.645919810269893
313,0.645945794900515
314,0.64598390671739
315,0.646035704317128
316,0.647030377967087
317,0.647054775042389
318,0.647289918562598
319,0.647337600063717
320,0.647394139110035
321,0.647456440564013
322,0.647502458307158
323,0.64757898575222
324,0.647620157383529
325,0.647649837070419
326,0.64769033886678
327,0.647720894026643
328,0.647777101266812
329,0.647806644558604
330,0.647841638983815
331,0.647892067721066
332,0.647924739595368
333,0.647955709277265
334,0.647984978425185
335,0.64804633766508
336,0.648238471271229
337,0.648269396671672
338,0.648314574002719
339,0.648362528251512
340,0.6484037184232
341,0.648436723514024
342,0.648534265683994
343,0.648576055689362
344,0.648606071711186
345,0.648639432726244
346,0.648680899047509
347,0.648742926414313
348,0.648773504317324
349,0.648805498262981
350,0.648843266430828
351,0.648878283974814
352,0.648931506221181
353,0.648963616561575
354,0.648996997662042
355,0.64905051639854
356,0.649084657626163
357,0.649111964640755
358,0.649157629911182
359,0.649194315075722
360,0.64922736993357
361,0.649260798320507
362,0.649307076394374
363,0.649366409403397
364,0.649399184738112
365,0.649432091613126
366,0.649546030600159
367,0.649590385513765
368,0.649642119349059
369,0.649673290154371
