1 = UWH, 2 = UWB, 3 = USH, 4 = USB, 5 = SWX, 6 = SSX, 7 = WWH, 8 = WWB, 9 = WSH, 10 = WSB
10
10
8
8
8
8
8
2
10
7
8
8
2
2
2
3
2
2
8
8
8
8
10
8
8
8
7
7
7
10
8
8
8
8
2
2
4
2
7
7
8
2
8
4
2
2
1
7
8
8
10
7
7
8
8
8
2
10
8
7
7
7
7
8
9
7
7
2
2
2
2
4
2
1
2
2
2
7
9
7
1
1
1
2
8
9
7
1
2
2
2
5
4
2
2
2
1
1
1
3
1
2
1
1
1
1
3
1
1
1
5
6
5
6
3
1
2
2
5
1
3
1
1
1
1
2
5
6
5
5
5
2
1
2
4
2
2
2
2
5
5
6
5
1
1
5
2
2
6
5
2
1
5
5
5
6
5
5
2
1
2
2
4
5
5
5
5
2
2
4
5
5
5
5
2
2
6
5
5
5
2
2
2
4
2
5
5
5
5
5
6
5
5
5
2
5
5
6
5
5
5
5
2
2
4
5
5
5
5
5
2
6
5
5
5
5
5
5
6
2
2
5
5
5
5
6
5
5
5
5
5
5
6
5
5
5
5
5
5
4
2
2
2
1
5
5
6
5
5
2
2
5
5
6
5
5
1
2
2
5
4
1
1
5
2
1
1
3
5
5
5
5
5
5
6
6
5
5
2
2
2
4
5
2
2
2
1
1
3
1
2
2
1
1
1
3
1
2
1
2
2
2
3
1
1
2
2
2
2
4
2
1
1
8
1
7
9
7
7
7
7
2
1
9
7
7
8
2
2
2
4
7
7
1
2
2
2
4
8
8
2
2
1
7
10
2
2
2
2
8
8
10
8
8
8
2
2
2
4
4
2
2
2
8
8
4
2
1
2
2
2
2
4
2
2
2
2
7
8
10
7
7
8
2
7
2
4
8
8
7
8
8
7
10
8
7
7
7
7
7
9
7
7
7
8
7
7
10
8
8
8
8
2
2
9
7
8
2
2
2
7
10
2
2
2
2
2
2
4
2
2
8
2
2
2
4
2
2
2
1
1
2
4
1
1
1
1
1
1
3
1
1
1
2
2
2
10
2
2
2
2
4
8
9
4
2
2
2
7
2
4
7
2
2
2
1
2
4
2
2
2
2
2
5
4
5
6
5
5
2
2
4
2
2
5
5
5
1
3
1
2
1
1
2
5
6
5
5
5
5
5
5
6
6
5
5
2
2
2
4
2
2
2
5
5
2
4
5
2
2
2
5
5
6
5
5
5
5
5
5
4
2
2
5
5
5
5
6
5
5
5
5
5
5
6
5
5
5
2
2
5
6
2
5
5
5
1
2
3
5
5
5
5
5
5
6
2
5
5
5
5
5
6
5
5
5
5
2
5
6
5
5
5
5
5
5
6
5
5
5
5
5
5
6
5
5
5
5
2
1
4
5
5
5
2
5
5
6
5
5
2
2
2
1
3
5
2
1
1
2
1
4
2
2
2
2
1
1
3
2
2
4
2
2
2
3
1
1
1
1
2
2
4
2
1
2
5
5
5
6
1
1
2
2
8
7
9
8
2
2
2
2
1
3
2
2
2
2
2
2
3
1
2
1
8
8
7
4
2
1
2
1
2
2
4
1
2
8
8
8
8
10
8
8
8
7
8
7
10
8
8
8
8
8
2
4
2
2
8
8
8
2
4
2
4
4
2
8
2
4
2
4
2
2
2
2
4
2
2
2
8
8
7
10
8
8
8
8
8
8
10
8
8
8
8
8
8
10
7
2
2
2
2
8
10
2
8
8
8
8
8
9
8
8
7
7
8
8
10
8
8
7
8
8
8
10
8
8
8
8
8
8
10
7
1
2
2
2
8
10
8
8
7
7
8
8
10
2
8
8
8
8
8
10
7
7
7
7
10
8
10
9
7
8
8
8
8
9
2
2
2
2
2
2
4
1
2
5
5
1
1
4
2
2
1
5
2
2
3
1
2
3
2
2
1
3
5
2
5
2
2
2
4
2
2
2
2
2
2
3
4
2
2
2
1
2
4
2
1
2
2
5
2
4
1
1
5
5
5
5
4
1
5
5
5
2
5
6
5
5
5
5
5
5
4
2
2
2
2
2
2
4
5
5
5
5
5
5
6
5
5
5
5
2
5
6
5
5
5
5
5
5
6
5
5
5
5
5
5
6
5
5
5
5
5
5
6
5
5
5
5
5
5
6
5
1
