base_load
186.276
185.445
184.184
183.454
182.518
181.798
180.932
179.841
179.327
178.322
177.3
176.588
175.679
174.843
174.002
173.268
172.535
171.732
170.997
170.246
169.776
169.106
168.327
167.575
166.773
166.134
165.428
164.334
163.667
162.879
162.293
161.95
161.473
161.228
160.652
160.278
159.651
159.292
158.641
158.06
157.528
156.908
156.206
155.625
155.269
154.63
154.257
153.929
153.609
153.208
152.823
152.517
152.209
151.905
151.602
151.052
150.686
150.096
149.789
149.335
149.104
148.669
148.016
147.593
147.183
146.9
146.48
146.203
145.941
145.718
145.198
144.206
143.3
142.607
141.957
141.12
140.439
139.802
139.271
138.775
138.205
137.769
137.447
137.339
137.457
137.323
137.472
137.266
137.349
137.527
137.813
138.059
138.186
138.47
138.773
139.236
139.555
139.837
139.991
140.294
140.533
140.747
141.072
141.523
141.699
141.746
141.843
142.012
142.461
142.424
142.45
142.258
141.943
141.784
141.552
141.374
140.904
140.38
139.806
139.345
139.193
139.171
138.944
138.227
137.853
137.418
136.995
136.537
136.481
136.341
136.142
135.96
135.867
135.711
135.484
135.262
135.034
134.741
134.317
134.387
134.074
133.474
132.85
132.273
131.847
131.551
130.932
130.577
130.08
129.956
129.661
129.522
129.63
129.438
129.337
129.298
129.545
129.667
129.785
130.169
130.63
131.003
131.765
132.297
132.764
133.277
133.655
134.095
134.585
134.872
135.466
135.906
136.245
136.651
137.1
137.183
137.17
137.443
137.677
137.799
137.855
137.837
137.736
137.628
137.257
136.791
136.373
136.047
135.87
135.797
135.852
135.758
136.052
136.263
136.152
135.849
135.761
135.534
135.284
135.375
135.273
135.185
134.985
134.715
134.522
134.499
134.468
134.246
134.399
134.415
134.354
133.707
133.383
133.052
132.774
132.352
131.937
131.692
131.608
131.621
131.92
132.056
131.869
131.825
132.311
132.266
132.52
132.89
133.19
133.602
133.802
134.042
134.701
135.19
135.795
136.394
137.078
137.62
138.468
139.09
139.63
140.284
140.455
141.128
141.291
141.284
141.64
142.157
142.354
142.369
142.439
142.554
142.815
143.006
143.429
143.483
143.533
143.409
143.585
143.878
143.403
143.357
143.21
143.157
143.369
143.455
143.907
144.186
144.751
144.916
145.444
145.474
145.805
146.191
146.103
146.479
146.852
147.013
147.346
147.723
147.389
147.131
147.01
146.382
146.259
146.335
146.042
146.07
145.726
146.629
147.128
147.377
147.637
148.068
148.343
148.773
149.037
149.536
150.262
151.129
151.909
152.743
153.677
154.748
156.074
156.552
157.418
158.295
159.497
160.586
161.382
162.705
163.431
164.411
165.63
166.687
167.21
168.047
169.032
169.576
169.759
170.605
171.489
171.944
172.202
172.84
172.825
173.698
174.454
174.903
175.505
176.196
177.027
177.596
177.265
177.349
178.491
179.624
179.628
179.93
181.278
181.788
182.68
183.306
184.133
184.806
185.413
186.335
187.004
186.965
187.585
188.257
188.676
189.184
189.307
189.791
189.783
189.517
190.299
190.837
192.654
192.937
193.589
194.079
194.817
196.384
195.535
196.743
198.34
200.261
200.63
202.502
203.968
205.542
206.864
208.869
210.652
212.268
213.268
214.67
217.373
217.664
219.204
221.195
220.63
221.158
222.436
223.008
222.784
222.444
223.538
225.392
225.181
226.712
228.812
230.352
230.732
231.684
232.665
233.684
234.035
234.61
236.025
237.547
238.562
238.144
239.11
240.013
239.784
241.286
242.018
242.834
